                Time          Cycles PC       Instr    Mnemonic
               65500               5 00000080 0040006f jal              x0, 4              
              443500             383 00000522 00012623 sw               x0, 12(x2)           x2:0001efe0  PA:0001efec
              445500             385 00000524 001007b7 lui              x15, 0x100000       x15=00100000
              446500             386 00000528 0047a783 lw               x15, 4(x15)         x15=00000000 x15:00100000  PA:00100004
              448500             388 0000052a 00112e23 sw               x1, 28(x2)           x1:000000c4  x2:0001efe0  PA:0001effc
              450500             390 0000052c 00812c23 sw               x8, 24(x2)           x8:00000000  x2:0001efe0  PA:0001eff8
              452500             392 0000052e 0007c063 blt              x15, x0, 0          x15:00000000
              453500             393 00000532 001007b7 lui              x15, 0x100000       x15=00100000
              454500             394 00000536 00010737 lui              x14, 0x10000        x14=00010000
              455500             395 00000538 02e7aa23 sw               x14, 52(x15)        x14:00010000 x15:00100000  PA:00100034
              457500             397 0000053a 00233737 lui              x14, 0x233000       x14=00233000
              458500             398 0000053e c0570713 addi             x14, x14, -1019     x14=00232c05 x14:00233000
              459500             399 00000542 02e7a023 sw               x14, 32(x15)        x14:00232c05 x15:00100000  PA:00100020
              461500             401 00000544 1c010737 lui              x14, 0x1c010000     x14=1c010000
              462500             402 00000548 07070713 addi             x14, x14, 112       x14=1c010070 x14:1c010000
              463500             403 0000054c 04e7a023 sw               x14, 64(x15)        x14:1c010070 x15:00100000  PA:00100040
              465500             405 0000054e 00100713 addi             x14, x0, 1          x14=00000001
              466500             406 00000550 04e7a823 sw               x14, 80(x15)        x14:00000001 x15:00100000  PA:00100050
              468500             408 00000552 03100713 addi             x14, x0, 49         x14=00000031
              469500             409 00000556 04e7aa23 sw               x14, 84(x15)        x14:00000031 x15:00100000  PA:00100054
              471500             411 00000558 0c800713 addi             x14, x0, 200        x14=000000c8
              472500             412 0000055c 04e7ae23 sw               x14, 92(x15)        x14:000000c8 x15:00100000  PA:0010005c
              474500             414 0000055e 1c010437 lui              x8, 0x1c010000       x8=1c010000
              475500             415 00000562 00001737 lui              x14, 0x1000         x14=00001000
              476500             416 00000564 14040413 addi             x8, x8, 320          x8=1c010140  x8:1c010000
              477500             417 00000568 a5770713 addi             x14, x14, -1449     x14=00000a57 x14:00001000
              478500             418 0000056c 0207ac23 sw               x0, 56(x15)         x15:00100000  PA:00100038
              480500             420 00000570 0207a823 sw               x0, 48(x15)         x15:00100000  PA:00100030
              482500             422 00000574 0207a623 sw               x0, 44(x15)         x15:00100000  PA:0010002c
              484500             424 00000578 0207a423 sw               x0, 40(x15)         x15:00100000  PA:00100028
              486500             426 0000057c 0207a223 sw               x0, 36(x15)         x15:00100000  PA:00100024
              488500             428 00000580 0487a623 sw               x8, 76(x15)          x8:1c010140 x15:00100000  PA:0010004c
              490500             430 00000582 04e7ac23 sw               x14, 88(x15)        x14:00000a57 x15:00100000  PA:00100058
              492500             432 00000584 0007a023 sw               x0, 0(x15)          x15:00100000  PA:00100000
              494500             434 00000588 10500073 wfi                                 
